         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
SAO22773         171.0920833-42.66916666 6.12B2-0.005+0.001
SAO99598         171.2454166+11.43027777 5.80K4-0.102-0.005
15Gam Crt        171.2204166-17.68388888 4.08A5-0.098+0.004
SAO56834         171.0462500-72.25666666 5.59B2-0.030-0.003
SAO28017         171.4879166+55.85055555 5.75K0-0.066+0.048
81 Leo           171.4016666+16.45638888 5.57F2-0.143-0.005
SAO02428         171.3725000-36.06305555 5.22K0-0.113+0.020
80 Leo           171.4583333 +3.86000000 6.37F3-0.080-0.041
SAO02430         171.3879166-37.74777777 5.89M3-0.042-0.014
SAO62551         171.6062500+33.45055555 6.32F7-0.040+0.016
SAO51402         171.4300000-63.97277777 5.17F7-0.313-0.078
83 Leo           171.6887500 +3.01305555 6.50K0-0.724+0.180
SAO51406         171.6470833-61.11527777 5.30B3-0.026+0.002
16Kap Crt        171.7895833-12.35666666 5.94F4-0.097+0.026
SAO39074         171.6970833-53.16000000 5.81K0-0.041+0.014
84Tau Leo        171.9841666 +2.85611111 4.95G7+0.018-0.012
SAO38216         171.9737500 -1.70000000 6.25K2-0.034-0.003
SAO02478         171.9937500-35.32861111 6.45K5-0.006+0.012
SAO15520         172.2691666+61.77833333 5.83F5-0.112+0.237
57 UMa           172.2675000+39.33694444 5.31A2-0.050+0.016
SAO22813         172.1462500-42.67416666 5.08B9-0.040+0.008
SAO28035         172.4312500+56.73750000 6.28A4-0.089-0.034
SAO56843         172.0758333-72.47444444 6.09B3-0.043-0.020
85 Leo           172.4245833+15.41333333 5.74K4-0.028-0.045
SAO28038         172.5537500+54.36166666 6.41K0+0.010-0.057
SAO79935         172.4108333-24.46333333 5.76A0-0.048+0.043
SAO1884          172.9600000+81.12722222 6.15A2-0.149+0.032
SAO43784         172.6041666+46.65750000 6.35K2+0.011+0.032
58 UMa           172.6295833+43.17333333 5.94F4-0.050+0.083
87 Leo           172.5787500 -3.00361111 4.77K3+0.022-0.014
86 Leo           172.6208333+18.40972222 5.52K0-0.088+0.020
1Lam Dra         172.8508333+69.33111111 3.84M0-0.039-0.017
SAO43790         172.7204166+47.92916666 6.42G9-0.229-0.070
SAO43793         172.7925000+48.78916666 6.56G9-0.030-0.040
88 Leo           172.9370833+14.36444444 6.20G0-0.330-0.189
SAO51437         172.8125000-61.27833333 6.38A3-0.007+0.003
SAO15542         173.0866666+61.08250000 5.48F8+0.002-0.069
SAO79964         172.9483333-20.77666666 6.24F7-0.131+0.032
Omi1Cen          172.9420833-59.44222222 5.13G3-0.005-0.005
Omi2Cen          172.9533333-59.51583333 5.15A2-0.008+0.001
SAO79967         173.0670833-29.26333333 5.81F8-0.014+0.138
SAO79968         173.0679166-29.26111111 5.64F8-0.028+0.145
SAO79969         173.0970833-26.74666666 6.16M1-0.079+0.033
SAO38265         173.1979166 -7.82750000 5.95K4-0.007+0.004
SAO22856         173.2004166-40.43638888 5.64K6-0.069+0.052
SAO51451         173.0829166-66.96222222 5.90K1-0.004-0.001
SAO02554         173.2254166-31.08722222 5.04M2-0.030+0.006
Xi Hya           173.2504166-31.85777777 3.54G7-0.206-0.040
SAO56750         173.3108333-16.28055555 6.05F9-0.002-0.043
SAO62604         173.4845833+36.81555555 6.40K0-0.129-0.046
SAO22863         173.4054166-40.58694444 5.39A2-0.071+0.024
SAO99668         173.5416666+11.02361111 6.55A2+0.045-0.031
89 Leo           173.5916666 +3.06000000 5.77F5-0.182-0.104
90 Leo           173.6770833+16.79694444 5.95B4-0.011+0.003
SAO28064         173.7704166+54.78527777 5.63K0+0.008+0.008
SAO02583         173.6229166-32.83138888 5.98K0-0.674+0.826
SAO81886         173.7658333+20.44138888 6.45G9-0.059-0.005
SAO39189         173.6904166-54.26416666 4.62B9-0.056+0.017
2 Dra            174.0116666+69.32277777 5.20K0+0.111-0.127
SAO22883         173.7366666-49.13666666 5.50K1-0.170+0.168
SAO22887         173.8050000-47.37250000 5.71M3-0.089-0.004
SAO99683         173.9308333+10.91111111 6.56A4+0.035-0.023
SAO81893         174.0745833+27.78111111 5.80F0+0.023+0.003
SAO22895         173.9816666-47.64166666 5.25A7+0.036-0.049
Lam Cen          173.9450000-63.01972222 3.13B9-0.041-0.005
21The Crt        174.1704166 -9.80222222 4.70B9-0.061+0.008
SAO02622         174.1458333-33.57000000 5.74K0+0.040-0.037
SAO02627         174.1700000-37.23777777 6.31A1-0.013-0.019
91Ups Leo        174.2370833 -0.82388888 4.30G8+0.004+0.043
SAO51479         174.0929166-61.05222222 5.83B2-0.021+0.008
SAO02634         174.2550000-32.98805555 6.29F6-0.011-0.079
SAO28081         174.4708333+50.61833333 6.14G9-0.047-0.021
SAO51486         174.2525000-61.28333333 5.15K0-0.224+0.006
SAO22917         174.3912500-47.74722222 5.44K2-0.072+0.027
59 UMa           174.5858333+43.62555555 5.59F2-0.145-0.033
SAO18961         174.5408333 +8.88416666 6.17K1-0.059+0.019
Pi Cha           174.3150000-75.89666666 5.65F1-0.134+0.001
60 UMa           174.6395833+46.83416666 6.10F5-0.037-0.033
SAO15580         174.7050000+64.34694444 6.46A5+0.016+0.006
SAO62635         174.6341666+33.62555555 6.27K2-0.028-0.019
1Ome Vir         174.6150000 +8.13416666 5.36M4-0.006+0.005
SAO38314         174.6004166 -2.43611111 6.22G9-0.031+0.009
SAO51501         174.4516666-67.62027777 5.96K0-0.083-0.007
SAO43841         174.6870833+45.10861111 6.44G0-0.594+0.026
SAO51505         174.5304166-61.82638888 5.15Ap-0.071+0.017
24Iot Crt        174.6670833-13.20194444 5.48F7+0.092+0.120
SAO80065         174.7516666-24.72111111 6.42G5+0.033-0.241
SAO56820         174.9629166-14.46861111 6.21A1-0.038-0.011
SAO56819         174.9600000-16.62027777 6.19M3-0.010-0.009
SAO51522         174.8725000-65.39777777 5.17G2-0.042-0.006
SAO28093         175.1141666+57.97055555 6.37B9-0.012+0.021
Omi Hya          175.0533333-34.74472222 4.70B9-0.042 0.000
92 Leo           175.1962500+21.35277777 5.26K1-0.064-0.049
61 UMa           175.2625000+34.20166666 5.33G8-0.012-0.381
SAO39284         175.1775000-53.96861111 5.96M1+0.004-0.019
SAO80098         175.2850000-29.19638888 6.44G0-0.324+0.215
SAO51535         175.2233333-62.09000000 4.94G3-0.020+0.008
SAO28101         175.4316666+55.17250000 6.27K5-0.015+0.023
62 UMa           175.3929166+31.74611111 5.73F4-0.351+0.032
SAO22960         175.3325000-43.09583333 5.55A0-0.082+0.003
SAO02717         175.4333333-32.49972222 5.22K5+0.004-0.042
3 Dra            175.6183333+66.74500000 5.30K3-0.043+0.038
SAO81949         175.5216666+22.21083333 6.59F2-0.092-0.063
SAO80117         175.5145833-20.29388888 6.22K0-0.015-0.048
SAO58621         175.2550000-83.10000000 6.33K0-0.071+0.015
SAO02744         175.8633333-37.19027777 5.98K3-0.015-0.024
SAO56865         175.7308333-79.30638888 6.39K0+0.132-0.008
SAO38375         175.9795833 -6.67722222 6.07G8+0.059-0.040
SAO51555         175.8800000-62.48944444 5.03G0-0.008+0.003
SAO81960         176.0550000+25.21833333 6.02K5-0.014+0.012
SAO51559         175.9704166-62.87833333 6.10A2+0.017-0.015
27Zet Crt        176.1908333-18.35083333 4.73G8+0.031-0.030
2Xi Vir          176.3212500 +8.25833333 4.85A4+0.061-0.018
SAO22997         176.3025000-49.06972222 6.26K1-0.031+0.014
3Nu Vir          176.4650000 +6.52944444 4.03M1-0.018-0.184
63Chi UMa        176.5125000+47.77944444 3.71K0-0.137+0.030
SAO23009         176.4329166-45.69000000 5.29B6-0.047+0.009
Lam Mus          176.4016666-66.72861111 3.64A7-0.103+0.037
SAO28142         176.7316666+55.62833333 5.27K2+0.014-0.030
SAO51579         176.6283333-61.17833333 4.11G5-0.027-0.015
SAO23020         176.6295833-40.50055555 4.91G3-1.531+0.401
SAO02805         176.7791666-35.90694444 6.17G8+0.034-0.037
SAO02811         176.8154166-30.28694444 6.48G5-0.276-0.240
SAO39373         176.8295833-57.69638888 5.41K5-0.025+0.017
93 Leo           176.9962500+20.21888888 4.53G5-0.149-0.003
4 Vir            176.9787500 +8.24583333 5.32A1-0.057+0.012
SAO56896         177.0979166-10.31333333 6.26F7-0.099-0.115
Mu Mus           177.0595833-66.81472222 4.72K4+0.013-0.015
SAO99800         177.1612500+14.28416666 5.88F0-0.107+0.007
SAO80208         177.1879166-26.74972222 5.11M4-0.032-0.010
SAO38420         177.2550000 -0.31861111 6.15F7-0.217+0.009
94Bet Leo        177.2650000+14.57194444 2.14A3-0.497-0.114
SAO99812         177.3120833+16.24277777 6.04A3+0.054-0.061
SAO62718         177.4237500+34.93166666 5.70F5-0.115+0.006
SAO51602         177.4212500-63.78833333 4.32B3-0.021+0.006
SAO51604         177.4858333-70.22583333 4.97G6-0.009+0.001
SAO56926         177.5812500-15.86388888 6.13K0-0.013+0.009
5Bet Vir         177.6737500 +1.76472222 3.61F9+0.743-0.271
SAO51605         177.6133333-62.64944444 5.70A2-0.012-0.002
SAO80232         177.6545833-27.27777777 6.48G8-0.087+0.010
SAO99827         177.7304166+12.27888888 6.35F0-0.137+0.023
SAO38445         177.7591666 -5.33333333 5.64K0+0.003 0.000
SAO62731         177.7891666+33.37500000 6.27Am-0.021+0.019
SAO23062         177.7862500-45.17361111 4.46K3-0.070-0.010
SAO56940         177.8412500-12.18777777 6.35F1-0.238+0.048
SAO02883         177.9233333-30.83500000 5.85F7-0.010-0.295
SAO51617         177.9633333-65.20611111 4.90B4-0.039-0.010
SAO62738         178.2450000+37.71861111 6.45G8+4.003-5.813
SAO39443         178.0420833-56.98777777 5.57A2-0.119+0.033
Bet Hya          178.2275000-33.90805555 4.28B9-0.050+0.005
SAO02910         178.3616666-35.06666666 6.17A2-0.079-0.028
64Gam UMa        178.4575000+53.69472222 2.44A0+0.095+0.012
SAO19100         178.4595833 +0.55194444 6.30F0-0.039-0.007
SAO39475         178.5479166-57.41000000 6.06A0-0.014+0.005
SAO02926         178.6075000-37.74888888 6.46F7-0.309+0.060
SAO80288         178.6770833-25.71388888 5.30G4+0.048+0.081
6 Vir            178.7629166 +8.44388888 5.58K0-0.031+0.016
65 UMa           178.7737500+46.47694444 6.54A3+0.001+0.008
65 UMa           178.7966666+46.46972222 7.03A1-0.009+0.006
SAO62754         178.8087500+36.75638888 6.49M3-0.054-0.050
SAO51640         178.7491666-63.27888888 5.91A3-0.026+0.011
95 Leo           178.9187500+15.64666666 5.53A3+0.009+0.002
SAO80307         178.9170833-28.47694444 5.93K5+0.004-0.026
66 UMa           178.9933333+56.59861111 5.84K1+0.010 0.000
30Eta Crt        179.0037500-17.15083333 5.18A0-0.051-0.006
SAO02950         178.9779166-39.68916666 6.13K0+0.048-0.008
SAO15666         179.2216666+61.54916666 6.22G8-0.031-0.040
SAO23127         179.1829166-47.07250000 6.26F5-0.126+0.016
SAO02971         179.2654166-33.31527777 6.21A0-0.055+0.003
SAO43963         179.3108333+40.34361111 6.62F6-0.160-0.062
SAO51659         179.4170833-62.44888888 5.57B3-0.022-0.006
SAO62774         179.5300000+32.27388888 6.42A9-0.109-0.060
SAO15673         179.5858333+61.46472222 6.76K0+0.042 0.000
SAO39533         179.5633333-56.31722222 5.44B8-0.021+0.006
SAO23139         179.5845833-40.94722222 6.79K1-0.057+0.021
SAO51664         179.6987500-64.33916666 5.61A3-0.001+0.012
SAO80349         179.7266666-25.90888888 6.43A0-0.027-0.019
SAO19147         179.7641666 +0.53055555 6.17K2-0.061+0.027
SAO62784         179.8233333+33.16750000 5.96K1+0.004+0.003
SAO39548         179.7954166-51.69666666 6.05K1-0.012-0.003
Eps Cha          179.9054166-78.22194444 4.91B9-0.057-0.002
SAO62786         179.9883333+34.03500000 6.50A9-0.064+0.042
7 Vir            179.9870833 +3.65527777 5.37A1-0.017-0.006
SAO1967          180.0775000+80.85305555 6.17M2-0.068-0.038
SAO57041         180.1854166-10.44611111 5.55G8+0.126-0.476
SAO80374         180.1770833-21.83722222 6.28K0+0.028+0.006
8Pi Vir          180.2183333 +6.61416666 4.66A5+0.001-0.030
SAO57042         180.2133333-19.65888888 5.26B1-0.021+0.013
SAO38533         180.2575000 -1.76805555 6.31G8-0.015-0.070
SAO39589         180.3708333-57.50361111 6.16A0-0.073-0.015
SAO62802         180.4145833+36.04194444 5.59K0-0.091-0.081
67 UMa           180.5283333+43.04555555 5.21F0-0.326+0.070
SAO58632         180.5837500-85.63166666 6.05K3-0.065+0.001
SAO56897         180.6191666-71.48888888 6.42K1-0.064+0.018
SAO51699         180.6570833-69.19222222 5.89B9-0.039-0.007
SAO38551         180.7150000 -7.68361111 6.22K5-0.036+0.020
The1Cru          180.7562500-63.31277777 4.33Am-0.150+0.008
SAO23193         180.9150000-42.43416666 5.15F6+0.331-0.114
SAO56898         180.9345833-74.21388888 6.44G6-0.027+0.007
2 Com            181.0691666+21.45916666 5.87F0+0.036-0.004
The2Cru          181.0800000-63.16555555 4.72B2-0.020+0.008
SAO51720         181.1612500-68.32916666 5.35A0-0.054-0.012
Kap Cha          181.1937500-76.51916666 5.04K4-0.082+0.048
SAO1975          181.1170833+85.58722222 6.27F6-0.056+0.092
SAO51723         181.2379166-60.96916666 5.96M2-0.038-0.032
9Omi Vir         181.3020833 +8.73305555 4.12G8-0.220+0.046
SAO7500          181.3129166+76.90583333 5.80G9+0.147-0.091
SAO15710         181.4154166+62.93305555 6.13K2-0.050-0.075
SAO51734         181.4716666-65.54722222 6.33B6-0.031-0.012
SAO03119         181.4862500-35.69388888 6.23B8-0.031-0.002
SAO38585         181.4991666 -3.13166666 6.37G8-0.028-0.019
SAO51737         181.5825000-68.65083333 6.23G3-0.014+0.020
SAO51738         181.5962500-65.70916666 6.06G8-0.049+0.002
Eta Cru          181.7204166-64.61361111 4.15F2+0.033-0.037
SAO56905         181.9575000-75.36694444 5.18K2-0.098+0.019
SAO39687         182.0216666-50.66138888 4.47B6-0.035-0.010
SAO39686         182.0200000-50.76333333 6.37B9-0.037+0.002
SAO23235         182.0612500-48.69277777 5.34B9-0.025-0.017
Del Cen          182.0895833-50.72250000 2.60B2-0.034-0.008
SAO51757         182.1025000-60.84722222 6.22K3-0.013+0.003
1Alp Crv         182.1033333-24.72888888 4.02F2+0.086-0.040
SAO23241         182.2241666-44.32611111 5.75A2-0.046-0.049
SAO23242         182.2270833-41.23138888 5.48B3-0.024-0.006
10 Vir           182.4220833 +1.89777777 5.95K3+0.043-0.178
SAO7512          182.4470833+74.66138888 6.35F6+0.001+0.006
SAO03183         182.5104166-34.70500000 6.17A0-0.052-0.018
11 Vir           182.5141666 +5.80694444 5.72F2-0.158+0.016
2Eps Crv         182.5312500-22.61972222 3.00K2-0.071+0.014
SAO03195         182.6408333-37.87027777 6.06A5+0.047-0.035
3 Com            182.6316666+16.80916666 6.39A4-0.017+0.001
SAO82166         182.6920833+27.28138888 6.01A4-0.009-0.014
SAO51778         182.7704166-61.27750000 6.08F2-0.134-0.018
3 Crv            182.7662500-23.60250000 5.46A2-0.063-0.016
SAO23266         182.7620833-45.42277777 6.61K0-0.018+0.009
SAO39735         182.8808333-51.35944444 6.23G6-0.208-0.067
Rho Cen          182.9129166-52.36861111 3.96B3-0.035-0.016
SAO1991          182.7500000+81.71000000 6.00K5-0.029+0.007
4 Com            182.9633333+25.87027777 5.66K4-0.038-0.031
68 UMa           182.9370833+57.05444444 6.43K5+0.007-0.013
SAO82181         183.0050000+28.53611111 6.49F5+0.097-0.071
5 Com            183.0387500+20.54194444 5.57K0-0.020-0.019
SAO51790         183.0916666-62.95083333 5.92B8-0.007+0.002
SAO51791         183.1950000-70.15194444 6.17F6-0.022-0.009
SAO7522          183.0495833+77.61638888 5.14A5+0.010+0.022
SAO03245         183.3041666-34.12555555 6.5 M4-0.030-0.006
SAO03250         183.3554166-38.92916666 5.76B4-0.003-0.006
SAO56915         183.4820833-78.57361111 6.35K2-0.033-0.003
12 Vir           183.3579166+10.26222222 5.85A2-0.091-0.010
SAO03252         183.4029166-33.79277777 6.33A0-0.006-0.011
SAO23297         183.5108333-45.72388888 5.31K3-0.042+0.007
SAO51803         183.5700000-64.40861111 6.22B1-0.013+0.004
SAO28309         183.6808333+53.43472222 6.16K0-0.019-0.015
SAO80602         183.7483333-20.84416666 5.83G7+0.001+0.004
Del Cru          183.7862500-58.74888888 2.80B2-0.041-0.009
SAO57168         183.7941666-10.31250000 6.11F5+0.034-1.017
SAO23309         183.8770833-41.91305555 6.26K0-0.331-0.175
SAO7532          183.7854166+70.20000000 5.71K2-0.023-0.026
69Del UMa        183.8566666+57.03250000 3.31A3+0.104+0.009
SAO80619         183.9458333-23.35361111 6.54F3+0.039-0.030
4Gam Crv         183.9516666-17.54194444 2.59B8-0.161+0.023
6 Com            184.0008333+14.89888888 5.10A3-0.080-0.034
SAO56919         184.0979166-72.61472222 6.22A0-0.053-0.026
SAO7533          183.9225000+72.55083333 6.29K0-0.014-0.035
2 CVn            184.0316666+40.66027777 5.66M1+0.017-0.032
7 Com            184.0854166+23.94527777 4.95G8-0.027-0.007
SAO62928         184.1254166+33.06138888 5.00K0-0.053-0.111
SAO51826         184.2750000-65.69277777 6.06A0-0.057-0.001
SAO57184         184.2637500-16.69361111 6.05A2-0.048+0.003
Eps Mus          184.3920833-67.96083333 4.11M5-0.244-0.025
SAO28327         184.3729166+53.19111111 5.81K6+0.034-0.046
SAO82219         184.3770833+28.93722222 5.70A4-0.042+0.037
Bet Cha          184.5862500-79.31222222 4.26B5-0.048+0.017
SAO03319         184.4470833-36.09388888 6.15A0-0.037-0.006
SAO00023         184.4345833+15.14416666 6.34K4+0.044-0.063
SAO38703         184.5379166 -3.95444444 6.99F3-0.017+0.016
SAO38704         184.5400000 -3.94861111 6.54F2-0.013+0.024
Zet Cru          184.6087500-64.00305555 4.04B2-0.050-0.010
SAO62943         184.6316666+30.24916666 6.23A9+0.077-0.116
13 Vir           184.6679166 -0.78722222 5.90A5+0.029-0.016
SAO39838         184.7487500-55.14305555 5.00M1-0.076-0.014
SAO2012          184.2141666+86.43611111 6.33F4+0.210-0.003
SAO82237         184.7587500+26.00777777 6.48A5-0.004-0.022
8 Com            184.8295833+23.03472222 6.27A5-0.022-0.012
SAO2010          183.8345833+87.70000000 6.28F2-0.028+0.054
SAO7540          184.7079166+75.16055555 5.38A1-0.040+0.002
9 Com            184.8733333+28.15694444 6.33F8-0.197-0.129
15Eta Vir        184.9766666 -0.66694444 3.89A2-0.063-0.018
3 CVn            184.9529166+48.98416666 5.29M0-0.012+0.007
SAO80695         185.0445833-22.17555555 5.97G3-0.109-0.025
SAO51854         185.1166666-65.84277777 6.21B9-0.056-0.015
SAO82250         185.0820833+26.61944444 5.54K2-0.065-0.107
SAO82249         185.0737500+26.00194444 6.15F0-0.145+0.019
16 Vir           185.0875000 +3.31250000 4.96K0-0.292-0.065
5Zet Crv         185.1404166-22.21583333 5.21B8-0.095-0.028
11 Com           185.1791666+17.79277777 4.74G8-0.111+0.092
SAO82254         185.1720833+27.05472222 7.13F3-0.001-0.114
SAO57226         185.2320833-13.56555555 5.14K1-0.006+0.014
Eps Cru          185.3400000-60.40111111 3.59K3-0.175+0.087
70 UMa           185.2116666+57.86388888 5.55K5+0.041-0.073
SAO39880         185.4895833-56.37472222 5.92K4-0.008-0.012
Zet2Mus          185.5304166-67.52194444 5.15A5-0.031-0.003
Zet1Mus          185.5495833-68.30750000 5.74K0-0.016-0.057
SAO82271         185.5450000+24.77388888 6.19A0-0.062-0.008
SAO39901         185.7054166-57.67611111 5.39B9-0.046-0.013
12 Com           185.6262500+25.84611111 4.81G0-0.011-0.009
17 Vir           185.6333333 +5.30555555 6.40F8-0.166-0.053
SAO58644         186.4062500-86.15055555 6.33K0-0.017-0.001
SAO51877         185.8075000-67.63166666 6.36G8-0.759+0.254
6 Crv            185.8400000-24.84055555 5.68K1-0.019-0.010
SAO03420         185.8975000-35.41277777 5.32B9-0.036-0.003
SAO03421         185.9037500-39.30305555 6.40F2-0.009-0.016
SAO03424         185.9370833-38.91111111 5.79B9-0.036 0.000
4 CVn            185.9458333+42.54277777 6.06F3-0.078+0.015
5 CVn            186.0062500+51.56222222 4.80G6+0.014+0.013
13 Com           186.0770833+26.09861111 5.18A3-0.016-0.011
SAO23417         186.1862500-41.38416666 6.25K2-0.064-0.071
SAO82293         186.1112500+25.58277777 6.42A7-0.014-0.004
SAO51893         186.3220833-65.77055555 6.30G8-0.080-0.121
SAO23426         186.2854166-42.51444444 6.11G5-0.130-0.022
SAO57272         186.2987500-11.61027777 5.95A1-0.065-0.023
SAO80786         186.3266666-27.74916666 6.09K1+0.005-0.001
SAO03450         186.3408333-35.18638888 5.73B9-0.034-0.006
SAO82297         186.3129166+23.92611111 6.03K0+0.058-0.038
71 UMa           186.2633333+56.77750000 5.81M3-0.014-0.018
SAO15801         186.2766666+63.80277777 6.32G8-0.015+0.002
6 CVn            186.4620833+39.01861111 5.02G9-0.078-0.032
SAO51903         186.6287500-63.12250000 4.86B4-0.040-0.025
Alp1Cru          186.6495833-63.09916666 1.33B0-0.036-0.012
Alp2Cru          186.6520833-63.09944444 1.73B1-0.034-0.007
SAO39948         186.6316666-51.45083333 4.82B3-0.044-0.017
14 Com           186.6004166+27.26833333 4.95F0-0.013-0.008
SAO23443         186.7008333-48.91333333 6.26G3-0.633-0.082
SAO03477         186.7154166-32.83000000 5.55B9-0.005-0.027
SAO51911         186.8525000-63.78916666 6.00B8-0.035-0.018
15Gam Com        186.7345833+28.26833333 4.36K1-0.083-0.080
16 Com           186.7470833+26.82555555 5.00A4-0.006-0.011
SAO39960         186.8695833-58.99194444 5.50M4-0.031+0.005
SAO7563          186.6008333+71.92972222 6.24G8-0.153-0.023
SAO19413         186.9254166 +8.61027777 6.37G8+0.018-0.010
SAO57299         186.9558333-16.63194444 6.35G3-0.018+0.003
Sig Cen          187.0100000-50.23055555 3.91B2-0.030-0.015
SAO51920         187.0787500-64.34138888 6.04A0-0.068-0.027
73 UMa           186.8962500+55.71277777 5.70M2-0.021-0.012
SAO38798         186.9650000 -4.61527777 6.22A8-0.086+0.006
SAO51924         187.1062500-61.79527777 6.22K2-0.034-0.014
SAO03508         187.0937500-39.04138888 5.44B8-0.023-0.017
SAO39977         187.1391666-56.40777777 6.15K0-0.240-0.220
SAO82326         187.1587500+26.22666666 6.54A2-0.020-0.014
SAO82328         187.1858333+25.89916666 6.65Am-0.018-0.021
17 Com           187.2279166+25.91277777 5.29A1-0.025-0.020
18 Com           187.3620833+24.10888888 5.48F5-0.031-0.001
SAO39999         187.4745833-56.52472222 5.80M1-0.022+0.019
SAO23471         187.4912500-41.73611111 6.02M2+0.008-0.025
20 Com           187.4300000+20.89611111 5.69A3+0.024-0.032
7Del Crv         187.4662500-16.51555555 2.95B9-0.210-0.138
SAO57326         187.5200000-13.39305555 6.35G0-0.248-0.041
SAO80850         187.5729166-23.69666666 5.63M0-0.020-0.003
74 UMa           187.4887500+58.40583333 5.35A5-0.062+0.091
7 CVn            187.5120833+51.53555555 6.21F6-0.289+0.024
75 UMa           187.5179166+58.76750000 6.08G8+0.031-0.024
Gam Cru          187.7912500-57.11333333 1.63M3+0.023-0.262
Gam Cru          187.8195833-57.08111111 6.42A3+0.002 0.000
4 Dra            187.5279166+69.20111111 4.95M3-0.059-0.052
21 Com           187.7525000+24.56722222 5.46A2-0.012-0.009
SAO28413         187.7087500+53.07666666 6.21F8+0.015+0.181
SAO40027         187.9179166-59.42388888 5.48F7-0.018-0.004
SAO56954         188.0416666-73.00166666 5.88K1+0.038-0.024
SAO19453         187.8391666 +7.60416666 6.05K5-0.018+0.010
SAO51946         187.9825000-63.50611111 5.95A8-0.063+0.008
SAO38832         187.9112500 -5.05250000 6.19G9-0.038+0.031
Gam Mus          188.1166666-72.13305555 3.87B5-0.058-0.002
SAO03567         188.0187500-32.53361111 6.46A3-0.015-0.008
8Eta Crv         188.0175000-16.19611111 4.31F2-0.426-0.061
SAO57350         188.1500000-13.85916666 5.74F2-0.144-0.051
20 Vir           188.2620833+10.29555555 6.26G8-0.051+0.005
SAO57359         188.3433333-19.79194444 6.26F2-0.013-0.002
SAO57361         188.3929166-12.83027777 5.58G8-0.016+0.052
22 Com           188.3925000+24.28305555 6.29A4-0.018-0.004
21 Vir           188.4450000 -9.45194444 5.48A0-0.080+0.007
SAO23516         188.4966666-49.90944444 6.38F3-0.163-0.040
SAO63070         188.4120833+33.24750000 5.42K0+0.020-0.033
SAO63072         188.4475000+33.38472222 6.24K0+0.002-0.008
8Bet CVn         188.4354166+41.35750000 4.26G0-0.705+0.292
9Bet Crv         188.5966666-23.39666666 2.65G5+0.002-0.054
5Kap Dra         188.3708333+69.78833333 3.87B6-0.059+0.012
SAO23527         188.6762500-44.67333333 5.77G1-0.083-0.215
23 Com           188.7129166+22.62916666 4.81A0-0.065+0.021
SAO51962         188.8708333-61.84194444 6.22G3-0.304-0.084
24 Com           188.7762500+18.37722222 6.56A9-0.003+0.024
24 Com           188.7825000+18.37694444 5.02K2-0.006+0.023
SAO82394         188.7837500+21.88138888 5.85K1+0.014-0.019
SAO23542         188.9395833-41.02194444 5.13A7-0.107-0.001
6 Dra            188.6833333+70.02194444 4.94K3-0.032 0.000
SAO03621         189.0050000-39.87000000 5.80A0-0.034-0.037
SAO80937         188.9941666-20.52722222 6.20F0+0.014-0.037
Alp Mus          189.2958333-69.13555555 2.69B2-0.048-0.013
25 Vir           189.1975000 -5.83194444 5.87A3-0.028-0.018
SAO28444         189.0970833+59.48694444 5.5 M4-0.025-0.011
25 Com           189.2429166+17.08944444 5.68K5-0.037-0.016
Tau Cen          189.4258333-48.54111111 3.86A2-0.184-0.005
SAO80965         189.4258333-27.13888888 5.45F1+0.076-0.091
SAO56967         189.8104166-75.36944444 6.49B8-0.032+0.031
SAO19503         189.5183333 +3.28250000 6.33A1-0.029-0.009
SAO51980         189.7187500-67.19305555 6.25B1-0.006-0.002
SAO19508         189.5933333 +1.85472222 5.71M3-0.080-0.018
SAO19509         189.6250000 +6.98833333 7.08M4-0.026-0.004
SAO57415         189.6858333-18.25027777 6.00A6-0.119+0.025
SAO03666         189.7645833-30.42222222 5.89K2-0.034-0.006
9 CVn            189.6929166+40.87444444 6.37A7-0.026-0.016
SAO82420         189.7587500+22.65944444 6.38K1-0.050-0.016
26Chi Vir        189.8116666 -7.99555555 4.66K2-0.076-0.025
SAO51987         189.9816666-66.51166666 6.26B8-0.059-0.021
26 Com           189.7804166+21.06250000 5.46G9-0.081-0.013
SAO63118         189.8204166+35.95194444 6.45A0+0.022-0.006
SAO03681         189.9687500-39.98750000 4.64B8-0.047-0.030
SAO23601         190.3458333-46.14555555 5.84K4-0.069+0.057
Gam Cen          190.3791666-48.95972222 2.17A1-0.189-0.005
SAO51996         190.5212500-69.40750000 6.33F7-0.004-0.002
SAO57447         190.3166666-13.01361111 6.08F3-0.113+0.019
SAO57448         190.3175000-13.01500000 5.98F5-0.127+0.008
SAO40161         190.4858333-59.68583333 4.93B6-0.025-0.002
27 Vir           190.3933333+10.42638888 6.19A7-0.109+0.004
29Gam Vir        190.4150000 -1.44944444 3.65F0-0.565+0.012
29Gam Vir        190.4150000 -1.44944444 3.68F0-0.565+0.012
SAO57451         190.4550000-19.75861111 6.03F3-0.212+0.027
30Rho Vir        190.4712500+10.23555555 4.88A0+0.084-0.091
31 Vir           190.4879166 +6.80666666 5.59A2-0.068-0.012
SAO52002         190.7095833-63.05861111 5.31B1-0.015 0.000
SAO23614         190.6475000-48.81305555 4.66K0-0.127-0.032
SAO40176         190.7066666-55.94722222 6.08B9-0.047-0.019
